discountPriceID,discount_price,discount_date
186,6.7,2006-03-17
187,217.17,2000-11-15
188,249.27,2002-06-25
189,185.01,2007-01-09
190,239.25,2008-02-17
191,451.45,2000-05-31
192,423.51,2004-09-17
193,75.55,2000-03-22
194,124.27,2006-05-05
195,110.54,2009-03-17
196,141.23,2001-07-01
197,141.23,2002-11-06
198,141.23,2003-04-12
199,141.23,2004-03-21
200,141.23,2004-11-26
201,141.23,2010-11-03
202,112.49,2001-03-05
203,158.64,2011-09-20
204,46.89,2003-11-18
205,45.28,2008-01-03
206,35.64,2000-01-23
207,30.61,2001-11-09
208,24.56,2003-01-28
209,38.16,2005-10-16
210,122.83,2000-03-06
211,71.27,2003-04-01
212,341.13,2003-06-17
213,341.13,2008-09-09
214,336.71,2010-12-15
215,184.13,2000-12-13
216,243.91,2001-03-29
217,267.49,2002-04-30
218,206.1,2011-07-20
219,231.95,2004-12-19
220,48.69,2000-11-17
221,42.16,2004-04-02
222,43.34,2005-11-13
223,49.65,2011-05-07
224,275.07,2003-06-04
225,323.84,2004-11-27
226,323.84,2012-04-18
227,201.88,2000-11-13
228,140.87,2012-05-27
229,110.86,2000-11-17
230,149.92,2007-01-16
231,121.31,2007-12-15
232,144.72,2009-06-08
233,301.83,2000-12-20
234,225.63,2012-03-18
235,217.83,2003-04-29
236,220.09,2005-09-30
237,43.88,2001-01-12
238,54.87,2004-12-12
239,42.45,2006-11-24
240,27.59,2002-03-28
241,29.36,2006-10-13
242,26.33,2007-05-23
243,470.57,2001-03-19
244,452.54,2005-09-29
245,470.57,2006-08-12
246,133.45,2003-05-22
247,196.83,2004-01-19
248,175.29,2009-12-01
249,182.32,2011-01-26
250,93.95,2000-07-22
251,78.08,2004-11-03
252,54.58,2006-02-14
253,433.81,2000-02-09
254,392.94,2000-05-24
255,333.48,2005-07-21
256,322.03,2000-05-12
257,322.03,2005-05-01
258,322.03,2007-08-11
259,310.02,2006-04-17
260,266.15,2003-06-12
261,252.12,2007-04-10
262,61.01,2006-02-01
263,52.11,2009-09-05
264,5.45,2001-02-18
265,5.45,2001-02-20
266,4.89,2005-03-08
267,74.19,2000-01-14
268,74.19,2007-02-16
269,64.99,2008-09-01
270,298.57,2003-04-28
271,205.74,2006-02-23
272,288.21,2010-09-30
273,70.8,2000-01-20
274,67.38,2000-06-28
275,49.5,2000-08-08
276,64.89,2005-05-30
277,69.38,2007-10-03
278,45.69,2009-06-29
279,234.48,2001-10-19
280,134.17,2004-01-06
281,162.6,2005-08-27
282,71.13,2000-07-30
283,103.37,2005-01-07
284,57.42,2006-12-17
285,46.27,2011-02-03
286,120.85,2000-01-11
287,83.14,2000-03-29
288,87.86,2000-10-19
289,196.9,2005-12-25
290,133.54,2010-11-02
291,108.19,2003-06-06
292,125.89,2006-05-01
293,105.13,2009-02-08
294,116.58,2010-10-03
295,150.3,2003-11-21
296,71.67,2001-11-20
297,60.76,2007-04-08
298,54.47,2008-11-18
299,52.6,2001-01-20
300,76.55,2002-11-09
301,38.51,2003-07-25
302,33.26,2007-05-13
303,69.79,2007-11-14
304,62.72,2009-03-16
305,27.11,2001-02-08
306,18.8,2005-05-20
307,80.94,2000-04-26
308,84.81,2012-05-19
309,258.56,2000-09-11
310,258.56,2006-02-20
311,258.56,2011-08-15
312,26.32,2002-01-25
313,23.72,2006-01-28
314,28.56,2007-04-11
315,43.54,2001-05-05
316,51.47,2006-04-02
317,303.37,2001-02-08
318,362.42,2003-04-11
319,279.75,2006-09-03
320,333.39,2010-08-14
321,8.8,2005-07-29
322,8.8,2007-03-14
323,8.8,2009-10-22
324,8.8,2012-05-27
325,28.94,2000-09-19
326,18.05,2003-02-26
327,13.83,2005-05-26
328,172.61,2001-05-14
329,83.31,2002-07-13
330,209.34,2002-10-29
331,189.92,2004-02-07
332,107.94,2004-03-26
333,149.5,2011-10-01
334,96.85,2009-09-06
335,262.76,2003-04-20
336,262.76,2007-05-18
337,202.08,2000-07-17
338,202.08,2003-08-25
339,210.29,2002-07-23
340,208.67,2003-07-02
341,210.29,2006-03-24
342,210.29,2012-03-24
343,32.1,2000-08-18
344,26.88,2001-10-14
345,26.42,2007-10-19
346,256.98,2000-08-04
347,154.37,2002-01-08
348,145.51,2005-01-15
349,5.2,2002-07-12
350,5.2,2012-03-24
351,137.02,2005-11-22
352,126.79,2006-01-06
353,167.11,2010-06-05
354,133.77,2010-08-26
355,151.69,2002-08-08
356,143.2,2006-05-12
357,155.48,2011-03-10
358,366.35,2000-07-11
359,457.8,2007-11-04
360,161.02,2002-04-06
361,71.58,2001-06-18
362,63.42,2004-03-01
363,68.22,2006-07-02
364,62.1,2008-01-23
365,71.67,2008-04-11
366,256.95,2003-08-13
367,256.95,2005-04-25
368,205.08,2010-07-31
369,414.79,2002-05-03
370,488.12,2003-02-12
371,494.67,2009-04-13
372,209.6,2000-04-05
373,216.67,2007-12-16
374,301.11,2000-06-26
375,248.58,2001-12-19
376,301.11,2002-12-24
377,301.11,2003-05-27
378,256.33,2003-06-02
379,165.82,2002-10-01
380,160.57,2006-12-11
381,14.24,2000-08-26
382,13.59,2002-05-17
383,12.65,2003-07-13
384,15.9,2005-03-30
385,16.99,2008-02-08
386,8.32,2002-07-04
387,22.72,2009-10-19
388,252.25,2001-02-23
389,224.04,2005-10-22
390,248.01,2007-12-21
391,248.26,2008-11-24
392,130.42,2000-02-19
393,104.48,2001-02-20
394,145.59,2001-10-17
395,151.33,2002-10-19
396,112.2,2002-12-26
397,168.53,2002-04-09
398,168.53,2006-05-24
399,168.53,2010-04-21
400,255.27,2003-01-07
401,240.9,2005-05-06
402,175.58,2008-08-04
403,389.53,2000-02-21
404,389.53,2004-12-05
405,389.53,2010-03-13
406,436.09,2005-02-22
407,398.15,2003-12-26
408,398.15,2011-09-08
409,257.97,2000-10-12
410,202.05,2004-04-15
411,229.72,2006-03-25
412,233.65,2002-02-16
413,222.84,2007-07-06
414,178.71,2010-04-27
415,131.78,2012-05-29
416,422.41,2002-03-10
417,422.41,2004-05-04
418,422.41,2004-09-09
419,422.41,2006-09-03
420,209.91,2004-01-19
421,184.86,2011-03-21
422,24.58,2004-07-05
423,111.17,2007-05-14
424,424.83,2001-06-10
425,424.83,2006-07-01
426,69.69,2001-11-30
427,69.38,2004-04-07
428,58.66,2007-06-27
429,59.65,2011-08-13
430,265.17,2000-07-12
431,240.48,2000-07-23
432,227.27,2008-03-04
433,57.18,2002-12-06
434,26.84,2004-04-12
435,96.17,2005-07-22
436,275.07,2001-04-23
437,167.19,2002-11-21
438,96.05,2005-05-03
439,109.52,2006-04-19
440,170.42,2007-03-05
441,104.69,2008-05-05
442,143,2012-02-20
443,470.73,2001-06-22
444,480.89,2002-07-10
445,480.89,2007-06-12
446,480.89,2008-02-23
447,480.89,2008-07-05
448,480.89,2010-12-16
449,398.06,2000-03-27
450,398.06,2001-11-06
451,398.06,2003-07-20
452,398.06,2004-02-28
453,398.06,2010-06-11
454,398.06,2011-02-21
455,164.29,2003-05-16
456,236.84,2005-12-08
457,183.1,2007-03-15
458,266.43,2002-11-21
459,239.56,2003-03-15
460,241.26,2012-03-16
461,97.28,2001-11-10
462,93.87,2003-10-15
463,182.56,2003-05-07
464,175.8,2007-10-10
465,116.34,2000-01-01
466,183.73,2004-04-17
467,79.04,2000-01-21
468,99.07,2005-12-12
469,62.22,2009-09-26
470,58.1,2011-08-26
471,225.01,2003-08-20
472,258.89,2006-04-13
473,133.04,2002-05-14
474,171.65,2004-10-26
475,180.08,2011-08-25
476,245.36,2004-04-13
477,245.36,2004-06-13
478,245.36,2010-05-15
479,245.36,2010-11-07
480,74.3,2001-09-20
481,105.5,2000-12-30
482,220.92,2002-09-19
483,213.75,2010-09-18
484,158.9,2011-04-12
485,7.81,2000-04-23
486,4.39,2001-06-30
487,4.61,2004-04-23
488,6.44,2006-06-02
489,5.38,2010-02-25
490,41.21,2002-04-12
491,52.15,2004-08-29
492,41.69,2006-03-17
493,44.4,2011-09-24
494,366.32,2000-03-23
495,270.52,2000-08-01
496,333.5,2006-10-17
497,74,2001-12-26
498,150.48,2000-03-25
499,154.38,2001-03-26
500,172.88,2008-01-21
501,151.16,2009-09-08
502,94,2001-11-01
503,12.06,2001-08-27
504,52.18,2002-12-03
505,76.21,2008-06-10
506,67.46,2011-05-17
507,75.52,2003-01-16
508,42.35,2001-01-09
509,54.08,2006-03-15
510,67.05,2002-04-02
511,398.8,2002-10-11
512,88.45,2006-05-26
513,71.92,2007-03-12
514,57.89,2012-03-18
515,45.86,2008-11-07
516,459.34,2003-03-25
517,365.99,2003-06-10
518,440.97,2004-06-08
519,464.93,2008-11-23
520,388.67,2009-02-04
521,366.64,2011-11-02
522,82.82,2001-08-20
523,156.77,2003-02-27
524,382.47,2001-10-03
525,385.76,2001-12-29
526,342.99,2006-12-04
527,399.42,2007-03-12
528,158.5,2005-12-31
529,82.71,2006-05-11
530,141.22,2008-11-21
531,115.71,2009-08-22
532,58.3,2002-11-04
533,68.69,2003-10-16
534,451.48,2001-12-10
535,451.48,2005-06-05
536,451.48,2006-01-20
537,186.31,2002-06-03
538,186.31,2010-09-20
539,17.7,2000-02-14
540,24.25,2002-07-09
541,31.86,2008-11-01
542,390.66,2000-08-30
543,400.29,2001-11-03
544,353.06,2002-06-05
545,338.12,2007-08-31
546,328.16,2009-03-06
547,323.22,2009-10-19
548,298.39,2000-09-10
549,338.2,2000-12-08
550,389.84,2002-11-01
551,392.75,2009-11-14
552,124.6,2001-02-23
553,150.57,2003-11-08
554,77.86,2003-05-29
555,75.48,2004-09-12
556,76.94,2006-12-05
557,91.4,2008-12-08
558,200.88,2000-07-08
559,200.88,2000-07-09
560,200.88,2002-08-24
561,199.39,2006-12-09
562,188.51,2006-03-25
563,244.44,2007-03-25
564,309.57,2007-10-12
565,118.45,2003-11-27
566,89.24,2005-01-22
567,122.81,2007-07-23
568,119.24,2009-02-25
569,87.02,2011-06-28
570,77.04,2000-09-14
571,50.2,2004-06-16
572,150.88,2003-10-13
573,163.35,2005-08-23
574,169.87,2010-02-14
575,165.03,2011-04-22
576,25.62,2002-07-28
577,111.98,2003-03-04
578,51.92,2012-02-16
579,166.02,2005-08-20
580,223.94,2005-08-26
581,11.32,2002-02-08
582,13.72,2002-04-30
583,12.81,2003-07-06
584,12.56,2006-06-07
585,17.26,2002-04-11
586,12.45,2005-06-24
587,15.73,2007-07-15
588,12.56,2010-10-15
589,155.85,2001-06-26
590,159.37,2002-09-11
591,185.31,2011-02-20
592,301.94,2002-05-10
593,375.28,2002-11-26
594,357.12,2008-05-14
595,66.53,2002-09-28
596,58.42,2004-08-10
597,67.61,2004-12-29
598,96.47,2000-11-11
599,174.67,2003-12-24
600,214.5,2005-05-16
601,179.02,2005-08-22
602,159.93,2007-10-08
603,170.92,2010-01-25
604,144.27,2010-10-22
605,156.63,2005-01-17
606,178.12,2006-04-25
607,164.76,2009-06-14
608,238.9,2002-06-02
609,249.08,2006-05-09
610,228.95,2007-03-30
611,147.28,2000-07-30
612,137.2,2000-10-26
613,137.19,2002-02-22
614,167.38,2006-04-27
615,60.39,2001-01-25
616,114.07,2003-11-05
617,116.78,2004-03-27
618,76.56,2009-12-08
619,72,2002-01-27
620,89.9,2007-04-23
621,75.2,2009-04-18
622,93.67,2010-04-17
623,327.98,2004-11-19
624,11.37,2004-11-05
625,13.05,2007-04-10
626,97.67,2003-04-03
627,89.28,2010-09-10
628,127.45,2002-11-15
629,145.29,2003-10-05
630,252.11,2006-07-10
631,248.39,2007-03-01
632,310.57,2002-10-21
633,310.57,2011-11-18
634,140.76,2000-01-20
635,163.53,2000-06-27
636,137.95,2001-11-07
637,50.15,2001-11-28
638,256.61,2002-01-20
639,198.23,2006-11-12
640,229.42,2007-12-02
641,256.77,2011-02-28
642,307.88,2007-12-03
643,356.4,2011-04-30
644,121.92,2000-12-11
645,104.49,2002-03-18
646,138.97,2005-07-07
647,119,2007-06-10
648,99.23,2010-01-21
649,55.28,2004-03-09
650,49.27,2005-01-13
651,44.61,2006-01-10
652,39.33,2009-09-01
653,54.74,2012-06-21
654,92.3,2005-03-03
655,94.28,2011-07-18
656,114.28,2005-02-14
657,115.87,2006-06-26
658,107.48,2002-02-23
659,111.2,2004-11-17
660,127.24,2004-12-11
661,92.49,2005-04-01
662,36.94,2005-05-04
663,66.33,2006-01-25
664,44.66,2009-05-06
665,218.23,2001-08-04
666,278.23,2003-03-06
667,263.24,2003-10-19
668,70.89,2000-11-20
669,85.23,2002-08-16
670,128.45,2012-03-08
671,313.91,2003-10-19
672,340.34,2009-09-25
673,340.34,2010-08-18
674,260.51,2002-06-22
675,138.3,2005-05-13
676,424.61,2000-08-26
677,412.82,2001-10-08
678,440.68,2008-08-09
679,360.69,2000-05-22
680,376.73,2003-09-11
681,376.73,2009-06-07
682,131.55,2006-04-02
683,134.66,2007-06-01
684,174.04,2008-02-04
685,322.83,2002-08-21
686,305.61,2005-02-13
687,322.83,2011-05-15
688,147.19,2000-04-17
689,138.22,2002-02-12
690,128.74,2010-01-18
691,266.55,2001-01-21
692,225.19,2001-09-11
693,354.01,2001-02-13
694,378.29,2004-05-24
695,197.35,2000-03-03
696,220.84,2001-10-07
697,241.4,2006-10-13
698,155.52,2010-10-06
699,82.76,2002-09-17
700,82.76,2003-06-19
701,82.76,2005-06-07
702,78.64,2008-05-11
703,137.74,2002-01-28
704,184.17,2003-10-10
705,137.15,2006-02-16
706,236.38,2006-05-10
707,155.02,2008-12-19
708,115.37,2002-03-26
709,92.53,2006-11-05
710,129.87,2007-03-30
711,128.69,2008-11-01
712,113.35,2010-12-14
713,339.67,2000-09-24
714,439.92,2001-07-12
715,439.92,2005-08-18
716,2.64,2002-06-19
717,352.39,2000-02-16
718,388.51,2002-10-21
719,325.76,2010-08-05
720,208.06,2003-08-28
721,212.95,2004-05-25
722,191.16,2005-01-04
723,166.13,2010-05-17
724,204.94,2011-02-21
725,353.94,2000-10-26
726,371.55,2011-07-26
727,344.65,2000-01-12
728,343.26,2001-03-06
729,344.65,2003-05-03
730,344.65,2005-10-29
731,344.65,2007-12-02
732,17.44,2002-03-22
733,11.08,2003-02-15
734,19.62,2009-01-18
735,10.15,2005-08-22
736,10,2006-02-21
737,8.56,2006-06-14
738,9.57,2009-04-14
739,49.93,2001-05-29
740,57.56,2002-07-27
741,66.66,2003-12-09
742,66.66,2006-02-18
743,52.71,2006-05-20
744,51.53,2008-02-12
745,187.55,2006-10-11
746,193.38,2008-02-05
747,229.82,2009-06-18
748,280.49,2012-02-24
749,363.7,2003-02-23
750,363.7,2006-04-13
751,184.65,2002-02-16
752,222.53,2003-07-26
753,165.11,2010-08-10
754,180.11,2012-02-12
755,325.55,2000-03-22
756,423.48,2001-01-14
757,356.97,2001-03-16
758,274.43,2000-02-20
759,297.62,2002-06-05
760,290.2,2005-03-04
761,273.04,2008-07-03
762,53.87,2000-02-19
763,63.43,2000-12-03
764,57.67,2002-03-03
765,67.92,2008-04-10
766,67.92,2011-10-04
767,379.88,2000-02-07
768,339.75,2001-12-21
769,375,2002-12-31
770,384.02,2003-05-15
771,427.15,2006-03-21
772,424.5,2009-06-26
773,393.05,2009-12-10
774,49.79,2004-05-25
775,181.62,2000-01-06
776,154.05,2001-07-09
777,173.05,2003-07-25
778,60.18,2003-11-11
779,165.37,2003-11-13
780,47.49,2003-05-09
781,44.2,2004-08-15
782,44.74,2004-11-20
783,211.97,2001-02-16
784,222.07,2001-10-24
785,139.11,2011-06-22
786,163.41,2000-06-03
787,125.43,2003-01-24
788,150.22,2005-08-24
789,121.45,2007-01-28
790,239,2001-02-02
791,230.76,2002-02-07
792,169.1,2009-10-14
793,21.87,2001-11-07
794,24.24,2002-03-05
795,15.58,2007-10-09
796,18.68,2009-03-19
797,20.04,2009-08-07
798,428.83,2009-06-03
799,235.3,2001-09-27
800,288.55,2005-01-16
801,243.53,2005-01-31
802,264.17,2007-06-12
803,109.89,2003-02-01
804,168.32,2008-12-16
805,27.2,2001-10-06
806,23.94,2004-10-07
807,27.2,2007-06-19
808,25.17,2011-06-23
809,140.82,2001-02-19
810,167.91,2006-02-22
811,150.82,2008-07-30
812,363.48,2003-06-15
813,363.48,2008-06-26
814,326.76,2009-11-28
815,50.93,2000-06-08
816,99.85,2005-10-17
817,94.15,2006-09-25
818,139.1,2001-07-26
819,158.52,2002-03-19
820,171,2003-07-19
821,97.81,2005-06-17
822,203.51,2009-12-06
823,143.52,2001-08-29
824,110.38,2006-08-10
825,134.56,2009-12-06
826,124.67,2012-01-01
827,108.88,2004-11-21
828,65.51,2002-06-30
829,140.68,2003-09-20
830,139.17,2004-06-07
831,149.53,2011-01-13
832,205.86,2011-01-19
833,9.13,2001-12-29
834,6.91,2007-07-05
835,185.48,2002-06-26
836,149.01,2002-12-08
837,39.71,2001-04-05
838,38.46,2003-08-08
839,43.38,2007-10-27
840,36.21,2011-08-22
841,329.82,2002-06-07
842,329.82,2009-04-06
843,136.56,2001-06-04
844,116.97,2001-07-10
845,91.59,2007-04-21
846,14.04,2004-01-03
847,14.04,2006-12-11
848,14.04,2010-03-22
849,209.96,2002-11-25
850,209.96,2008-12-26
851,150.86,2000-11-03
852,149.84,2002-01-10
853,162.13,2007-04-25
854,299.5,2000-07-02
855,231.52,2001-03-14
856,286.11,2004-02-01
857,293.36,2004-07-21
858,283.26,2008-05-13
859,211,2010-06-08
860,127.67,2002-06-10
861,3,2002-07-07
862,184.8,2001-11-29
863,261.16,2001-12-28
864,201.59,2002-09-07
865,246.36,2003-12-14
866,118.62,2001-09-12
867,146.17,2010-07-06
868,73.49,2010-12-19
869,17.67,2002-01-22
870,20.25,2002-09-24
871,449.25,2001-07-20
872,449.25,2003-12-26
873,449.25,2010-04-08
874,449.25,2010-07-27
875,97.46,2005-03-16
876,97.13,2012-04-23
877,400.97,2005-03-14
878,9.77,2003-02-28
879,11.06,2003-12-10
880,10.48,2004-11-26
881,8.11,2007-01-14
882,6.81,2010-04-16
883,327.61,2003-08-15
884,204.57,2000-09-07
885,239.57,2001-05-08
886,211.94,2001-10-08
887,222.85,2002-06-18
888,318.44,2002-05-03
889,279.53,2008-12-13
890,318.44,2009-01-17
891,99.35,2006-08-03
892,97.61,2008-05-23
893,65.93,2000-02-21
894,103.14,2000-07-01
895,67.48,2003-02-28
896,66.48,2004-01-01
897,72.18,2009-12-20
898,436.97,2000-11-03
899,423.49,2002-10-08
900,362.09,2002-11-04
901,409.65,2011-01-31
902,239.77,2001-03-21
903,239.77,2005-10-23
904,239.77,2006-07-21
905,27.38,2001-02-27
906,23.65,2001-09-14
907,19.14,2007-12-30
908,20.07,2009-11-21
909,25.96,2012-02-25
910,210.43,2002-12-20
911,5.3,2002-09-24
912,8.29,2004-10-21
913,6.74,2005-10-06
914,76.18,2001-02-13
915,92.32,2002-11-26
916,83.88,2004-02-22
917,79.26,2011-04-12
918,193.52,2001-09-03
919,129.53,2004-03-29
920,57.06,2003-07-07
921,57.06,2003-11-02
922,57.06,2004-06-11
923,57.06,2010-04-30
924,222.34,2000-03-08
925,222.34,2001-10-10
926,222.06,2005-08-11
927,222.34,2007-11-01
928,222.34,2011-08-19
929,421.22,2008-04-10
930,294.4,2004-09-14
931,248.27,2003-08-19
932,173.49,2005-04-02
933,225.22,2008-05-30
934,195.96,2011-11-21
935,482.6,2001-09-26
936,382.66,2004-11-28
937,439.33,2005-06-14
938,86.18,2001-12-01
939,197.25,2003-12-29
940,217.52,2005-01-06
941,131.03,2010-01-13
942,198.48,2000-04-08
943,172.83,2001-09-12
944,69.92,2006-10-17
945,192.29,2009-03-03
946,192.45,2000-04-06
947,192.45,2008-05-29
948,192.45,2012-02-22
949,192.45,2012-03-06
950,139.84,2004-06-10
951,139.84,2005-03-18
952,173.5,2000-07-05
953,173.5,2001-02-28
954,173.5,2001-12-27
955,134.03,2003-10-10
956,167.37,2004-02-08
957,176.9,2007-05-06
958,165.65,2002-01-12
959,152.24,2002-03-18
960,232.87,2007-09-10
961,119.4,2000-02-07
962,157.39,2008-01-19
963,138.1,2008-02-05
964,134.54,2011-10-11
965,236.84,2000-03-21
966,97.57,2000-05-13
967,124.61,2002-03-02
968,4.94,2003-12-30
969,5.14,2006-06-13
970,5.14,2008-11-23
971,5.14,2012-02-06
972,140.68,2001-04-28
973,145.3,2007-12-22
974,137.35,2010-01-13
975,235.81,2002-10-05
976,296.28,2002-10-07
977,219.13,2008-08-03
978,412.63,2001-06-20
979,450.43,2002-03-05
980,113.68,2000-03-08
981,129.06,2003-02-06
982,125.55,2011-02-18
983,129.06,2011-06-05
984,424.65,2007-08-04
985,289.86,2001-04-16
986,392.2,2001-11-30
987,338.62,2006-08-24
988,114.42,2004-05-10
989,96.52,2007-04-30
990,355.75,2000-06-25
991,347.44,2001-09-19
992,274.16,2010-06-30
993,330.3,2001-09-17
994,358.28,2007-02-08
995,447.52,2001-10-30
996,403.75,2012-01-16
997,112.35,2002-10-31
998,185.38,2012-05-05
999,293.83,2000-09-09
1000,245.98,2008-11-11
1001,268.01,2012-05-31
1002,152.26,2005-04-08
1003,221.1,2001-01-31
1004,248.37,2003-10-10
1005,248.37,2005-04-11
1006,444.01,2000-04-02
1007,444.01,2000-12-25
1008,411.35,2006-02-07
1009,27.18,2007-02-04
1010,219.95,2000-11-09
1011,215.99,2001-02-12
1012,219.95,2001-10-20
1013,219.95,2003-05-06
1014,379.19,2003-05-12
1015,324.03,2010-03-30
1016,221.35,2000-02-17
1017,163.06,2003-01-23
1018,87.02,2000-09-06
1019,87.02,2004-02-01
1020,87.02,2011-06-04
1021,75.94,2000-03-28
1022,76.13,2000-07-02
1023,68.28,2008-12-31
1024,65.87,2009-09-21
1025,27.88,2001-06-15
1026,54.79,2000-06-15
1027,45.93,2007-12-17
1028,194.88,2001-05-10
1029,194.88,2003-06-01
1030,194.88,2011-04-28
1031,212.9,2002-01-06
1032,145.94,2000-09-30
1033,145.94,2007-10-22
1034,440.68,2000-01-08
1035,440.68,2001-12-20
1036,440.68,2002-05-18
1037,440.68,2006-03-23
1038,279.65,2000-04-19
1039,279.65,2004-11-20
1040,142.77,2002-03-26
1041,160.16,2005-05-03
1042,277.81,2003-02-18
1043,268.22,2005-05-26
1044,211.98,2007-10-14
1045,151.46,2001-12-02
1046,27.47,2002-02-01
1047,31.18,2009-01-05
1048,6.69,2001-12-24
1049,4.69,2003-08-05
1050,50.52,2001-02-05
1051,45.5,2001-03-25
1052,43.05,2002-03-20
1053,45.82,2002-11-17
1054,277.27,2002-05-07
1055,95.86,2000-06-18
1056,114.94,2003-01-21
1057,100.59,2006-06-11
1058,101.59,2008-05-18
1059,84.62,2008-06-06
1060,61.79,2009-04-11
1061,63.53,2011-06-23
1062,266.91,2002-09-10
1063,266.91,2003-11-06
1064,266.91,2007-12-17
1065,177.42,2000-01-18
1066,96.33,2006-08-02
1067,162.58,2011-02-02
1068,364.75,2001-12-05
1069,364.75,2005-01-27
1070,222.03,2001-03-25
